Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","CAPC1608X90N",145.170000,-100.320000,180.000000,bottom
"C2","1uF","CAPC1608X90N",154.510000,-100.440000,0.000000,bottom
"C3","1uF","CAPC1608X90N",164.090000,-104.870000,-90.000000,bottom
"C4","0.1uF","CAPC1608X90N",152.750000,-84.290000,-90.000000,bottom
"C5","10uF","CAPC1608X90N",154.430000,-84.290000,-90.000000,bottom
"C8","1uF","CAPC1608X90N",165.920000,-93.610000,0.000000,bottom
"C9","0.47uF","CAPC1608X90N",150.720000,-84.290000,-90.000000,bottom
"C10","1uF","CAPC1608X90N",152.690000,-93.750000,180.000000,bottom
"C11","0.47uF","CAPC1608X90N",143.960000,-93.150000,90.000000,bottom
"D1","KT-0603R","LED_KT-0603R",163.550000,-96.190000,0.000000,bottom
"D2","B0530W-7-F","SOD3715X145N",153.470000,-89.870000,90.000000,bottom
"D3","B0530W-7-F","SOD3715X145N",148.270000,-93.880000,180.000000,bottom
"D4","B0530W-7-F","SOD3715X145N",140.660000,-99.400000,180.000000,bottom
"J2","S2B-PH-K-S_LF__SN_","JST_S2B-PH-K-S_LF__SN_",159.450000,-100.567500,180.000000,bottom
"J3","FH34SRJ-24S-0.5SH_50_","HRS_FH34SRJ-24S-0.5SH_50_",135.320000,-94.040000,90.000000,bottom
"L1","47uH 500mA","WE-TPC_4828",146.410000,-84.470000,180.000000,bottom
"Q1","2N7002K-7","SOT91P240X110-3N",144.990000,-89.500000,180.000000,bottom
"R1","1k","RESC1607X60N",145.120000,-98.480000,180.000000,bottom
"R2","2k","R0603",144.960000,-96.950000,90.000000,bottom
"R3","1k","RESC1607X60N",163.610000,-97.890000,0.000000,bottom
"R4","1k","RESC1607X60N",155.060000,-97.530000,180.000000,bottom
"R5","1M","RESC1607X60N",167.380000,-98.300000,0.000000,bottom
"R6","200k","RESC1608X60N",167.280000,-96.600000,180.000000,bottom
"R7","1M","RESC1607X60N",138.580000,-86.970000,90.000000,bottom
"R8","2.2k","RESC1608X55N",138.590000,-90.090000,90.000000,bottom
"U2","BQ24040DSQR","SON40P200X200X80-11N",150.775000,-98.540000,0.000000,bottom
"U3","TLV75801PDRVR","SON65P200X200X80-7N",165.115000,-101.370000,180.000000,bottom
"U4","ESD7104MUTAG","IC_ESD7104MUTAG",151.190000,-105.392500,-90.000000,bottom
"C6","0.1uF","CAPC1608X90N",165.310000,-86.450000,-90.000000,top
"C7","0.1uF","CAPC1608X90N",135.020000,-84.900000,90.000000,top
"C12","1uF","CAPC1608X90N",133.580000,-90.290000,180.000000,top
"C13","1uF","CAPC1608X90N",133.440000,-92.320000,180.000000,top
"C14","1uF","CAPC1608X90N",133.450000,-93.920000,180.000000,top
"C15","1uF","CAPC1608X90N",133.440000,-95.490000,180.000000,top
"C16","1uF","CAPC1608X90N",133.410000,-97.100000,180.000000,top
"C17","1uF","CAPC1608X90N",133.400000,-98.700000,180.000000,top
"C18","1uF","CAPC1608X90N",137.350000,-102.190000,0.000000,top
"J1","GT-USB-7010B","G-SWITCH_GT-USB-7010B",149.980000,-107.410000,0.000000,top
"S1","RESET","SW_EVP-AEDB2A",168.850000,-85.700000,90.000000,top
"S2","BOOT","SW_EVP-AEDB2A",131.150000,-85.670000,-90.000000,top
"S3","SETTING1","SW_EVP-AEDB2A",131.140000,-103.440000,-90.000000,top
"S4","SETTING2","SW_EVP-AEDB2A",168.840000,-103.460000,90.000000,top
"U1","ESP32-S3-MINI-1-N8","XCVR_ESP32-S3-MINI-1-N8",149.150000,-88.760000,-90.000000,top
