Comment,Designator,Footprint
SETTING2,S4,SW_EVP-AEDB2A
SETTING1,S3,SW_EVP-AEDB2A
1.0uF,"C14,C17,C15,C12,C16,C13,C18,C8,C2,C3,C10,C1",CAPC1608X90N
ESP32-S3-MINI-1-N8,U1,XCVR_ESP32-S3-MINI-1-N8
BOOT,S2,SW_EVP-AEDB2A
0.10uF,"C7,C6,C4",CAPC1608X90N
RESET,S1,SW_EVP-AEDB2A
GT-USB-7010B,J1,G-SWITCH_GT-USB-7010B
1.0k,"R4,R1,R3",RESC1607X60N
10.0uF,C5,CAPC1608X90N
B0530W-7-F,"D3,D4,D2",SOD3715X145N
47uH 500mA,L1,WE-TPC_4828
FH34SRJ-24S-0.5SH_50_,J3,HRS_FH34SRJ-24S-0.5SH_50_
ESD7104MUTAG,U4,IC_ESD7104MUTAG
0.470uF,"C9,C11",CAPC1608X90N
2.20k,R8,RESC1608X55N
TLV75801PDRVR,U3,SON65P200X200X80-7N
200.0k,R6,RESC1608X60N
KT-0603R,D1,LED_KT-0603R
2N7002K-7,Q1,SOT91P240X110-3N
BQ24040DSQR,U2,SON40P200X200X80-11N
S2B-PH-K-S_LF__SN_,J2,JST_S2B-PH-K-S_LF__SN_
1.0M,"R7,R5",RESC1607X60N
2.0k,R2,R0603
